java_file,go_file,status
operation/overlay/ConsistentPolygonRingChecker.java,operation_overlay_consistent_polygon_ring_checker.go,ported
operation/overlay/EdgeSetNoder.java,operation_overlay_edge_set_noder.go,ported
operation/overlay/LineBuilder.java,operation_overlay_line_builder.go,ported
operation/overlay/MaximalEdgeRing.java,operation_overlay_maximal_edge_ring.go,ported
operation/overlay/MinimalEdgeRing.java,operation_overlay_minimal_edge_ring.go,ported
operation/overlayng/CoverageUnion.java,operation_overlayng_coverage_union.go,ported
operation/overlayng/CoverageUnionTest.java,operation_overlayng_coverage_union_test.go,ported
operation/overlayng/Edge.java,operation_overlayng_edge.go,ported
operation/overlayng/EdgeKey.java,operation_overlayng_edge_key.go,ported
operation/overlayng/EdgeMerger.java,operation_overlayng_edge_merger.go,ported
operation/overlayng/EdgeNodingBuilder.java,operation_overlayng_edge_noding_builder.go,ported
operation/overlayng/EdgeSourceInfo.java,operation_overlayng_edge_source_info.go,ported
operation/overlayng/ElevationModel.java,operation_overlayng_elevation_model.go,ported
operation/overlayng/ElevationModelTest.java,operation_overlayng_elevation_model_test.go,ported
operation/overlayng/FastOverlayFilter.java,operation_overlayng_fast_overlay_filter.go,ported
operation/overlayng/IndexedPointOnLineLocator.java,operation_overlayng_indexed_point_on_line_locator.go,ported
operation/overlayng/InputGeometry.java,operation_overlayng_input_geometry.go,ported
operation/overlayng/IntersectionPointBuilder.java,operation_overlayng_intersection_point_builder.go,ported
operation/overlayng/LineBuilder.java,operation_overlayng_line_builder.go,ported
operation/overlayng/LineLimiter.java,operation_overlayng_line_limiter.go,ported
operation/overlayng/LineLimiterTest.java,operation_overlayng_line_limiter_test.go,ported
operation/overlayng/MaximalEdgeRing.java,operation_overlayng_maximal_edge_ring.go,ported
operation/overlayng/OverlayEdge.java,operation_overlayng_overlay_edge.go,ported
operation/overlayng/OverlayEdgeRing.java,operation_overlayng_overlay_edge_ring.go,ported
operation/overlayng/OverlayGraph.java,operation_overlayng_overlay_graph.go,ported
operation/overlayng/OverlayGraphTest.java,operation_overlayng_overlay_graph_test.go,ported
operation/overlayng/OverlayLabel.java,operation_overlayng_overlay_label.go,ported
operation/overlayng/OverlayLabeller.java,operation_overlayng_overlay_labeller.go,ported
operation/overlayng/OverlayMixedPoints.java,operation_overlayng_overlay_mixed_points.go,ported
operation/overlayng/OverlayNG.java,operation_overlayng_overlay_ng.go,ported
operation/overlayng/OverlayNGRobust.java,operation_overlayng_overlay_ng_robust.go,ported
operation/overlayng/OverlayNGRobustTest.java,operation_overlayng_overlay_ng_robust_test.go,ported
operation/overlayng/OverlayNGTest.java,operation_overlayng_overlay_ng_test.go,ported
operation/overlayng/OverlayPoints.java,operation_overlayng_overlay_points.go,ported
operation/overlayng/OverlayUtil.java,operation_overlayng_overlay_util.go,ported
operation/overlayng/PolygonBuilder.java,operation_overlayng_polygon_builder.go,ported
operation/overlayng/PrecisionReducer.java,operation_overlayng_precision_reducer.go,ported
operation/overlayng/PrecisionReducerTest.java,operation_overlayng_precision_reducer_test.go,ported
operation/overlayng/PrecisionUtil.java,operation_overlayng_precision_util.go,ported
operation/overlayng/PrecisionUtilTest.java,operation_overlayng_precision_util_test.go,ported
operation/overlayng/RingClipper.java,operation_overlayng_ring_clipper.go,ported
operation/overlayng/RingClipperTest.java,operation_overlayng_ring_clipper_test.go,ported
operation/overlayng/RobustClipEnvelopeComputer.java,operation_overlayng_robust_clip_envelope_computer.go,ported
operation/overlayng/UnaryUnionNG.java,operation_overlayng_unary_union_ng.go,ported
operation/overlayng/UnaryUnionNGTest.java,operation_overlayng_unary_union_ng_test.go,ported
operation/overlay/OverlayNodeFactory.java,operation_overlay_overlay_node_factory.go,ported
operation/overlay/OverlayOp.java,operation_overlay_overlay_op.go,ported
operation/overlay/PointBuilder.java,operation_overlay_point_builder.go,ported
operation/overlay/PolygonBuilder.java,operation_overlay_polygon_builder.go,ported
operation/overlay/snap/GeometrySnapper.java,operation_overlay_snap_geometry_snapper.go,ported
operation/overlay/snap/LineStringSnapper.java,operation_overlay_snap_line_string_snapper.go,ported
operation/overlay/snap/SnapIfNeededOverlayOp.java,operation_overlay_snap_snap_if_needed_overlay_op.go,ported
operation/overlay/snap/SnapOverlayOp.java,operation_overlay_snap_snap_overlay_op.go,ported
operation/predicate/RectangleContains.java,operation_predicate_rectangle_contains.go,ported
operation/predicate/RectangleIntersects.java,operation_predicate_rectangle_intersects.go,ported
